"Timestamp","In the past 12 months, has any household member done the following? (Check all that apply) [Visited the Community Center]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town swimming facilities]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town recreational fields or courts]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Pine Meadows golf course]","In the past 12 months, has any household member done the following? (Check all that apply) [Used a school or neighborhood playground]","In the past 12 months, has any household member done the following? (Check all that apply) [Used the Minuteman Bikeway]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Lexpress bus]","In the past 12 months, has any household member done the following? (Check all that apply) [Visited Lexington conservation areas]","In the past 12 months, has any household member done the following? (Check all that apply) [Directly received fire or police services]","In the past 12 months, has any household member done the following? (Check all that apply) [Attended Lexington public schools]","In the past 12 months, has any household member done the following? (Check all that apply) [Participated in any town provided program or service for seniors]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Cary library or attended a library event]","In the past 12 months, has any household member done the following? (Check all that apply) [Served town government in any capacity (employee, committee member, town meeting member, elected representative)]","Are you aware that the Recreation & Community Programs Department offers financial aid for programs and services?","Has a household member received this type of financial assistance to participate in a program or service? ","If your primary residence is rental, please indicate your monthly rental cost: ","If you own your primary residence, please indicate your total monthly housing payment (mortgage, insurance, property taxes):","Do you receive a property tax deferral or property tax credit due to limited income?","What level of stress does your household experience with payment of monthly housing costs?","Please elaborate or share any additional thoughts. ","Thinking about all the costs of living in your owned property or rental (rent/mortgage, home maintenance, condo fees, property taxes, insurance, utilities), what portion of these costs do you estimate is related to property taxes?","Are you responsible for the housing costs at your residence (i.e. owner or lessee)?","Are you considering relocating away from Lexington in the next 10 years?","Age (respondent)","Size of household (number of people)","Disabilities within household (check all that apply)","Length of time living in town (respondent)","What type of property is your residence?","Approximate market property value of your Lexington residence (if owned):","Please indicate your approximate household income in the past 12 months","Please indicate how the survey was shared with you (any groups or lists or whether it was forwarded to you.)","Please share any comments to the survey team about this survey. Thank you."
"2018/10/09 3:01:24 PM EST","No","No","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","N/A","","$4,001-$6,000","No","Significant","","Significant (51-75%)","Yes","Unlikely","31-39 years","3","none of the above","moved in 2010-2014","single family home","$1,000,000-$1,249,999","$100,000-$149,999","Lexfun",""
"2018/10/09 3:32:59 PM EST","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","$3000-$4499","N/A","N/A","Significant","One parent income with multiple children","Significant (51-75%)","Yes","Undecided - Possible","31-39 years","5+","none of the above","moved in 2015 or later","single family home","$750,000-$999,999","$150,000-$199,999","Lexington mavens ",""
"2018/10/09 3:49:30 PM EST","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","","$4,001-$6,000","No","Significant","With our currebt income and spending, our budget is borderline breakeven if not in the red, and ANY increase in housing costs (mainly property taxes, as these are generally the only cost that goes up every year) digs us further in the hole. We are very tight with our money and spend almost nothing on wants (only needs), so annual property tax increases are constantly stressful","Some (26-50%)","Yes","Unlikely","31-39 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$100,000-$149,999","",""
"2018/10/09 7:03:07 PM EST","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","N/A","<$2,000/month","No","Little","Lexington's taxes are much higher than some comparable communities and the transportation to Boston is very poor.  This enters into thoughts about what we are paying for our location.","Significant (51-75%)","Yes","Undecided - Possible","50-59 years","4","none of the above","moved in 1990-1999","single family home","$1,500,000-$1,749,999","$200,000 and over","",""
"2018/10/09 7:08:33 PM EST","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","","$10,001+","No","Some","","Significant (51-75%)","Yes","Likely","40-49 years","4","none of the above","moved in 2010-2014","single family home","$1,000,000-$1,249,999","$200,000 and over","email list",""
"2018/10/09 7:13:27 PM EST","Yes","No","Yes","No","No","Yes","No","Yes","No","N/A","N/A","Yes","Yes","Yes","N/A","N/A","<$2,000/month","No","None","","Significant (51-75%)","Yes","Unlikely","50-59 years","2","none of the above","moved in 1990-1999","condominium","$1,000,000-$1,249,999","$100,000-$149,999","",""
"2018/10/09 7:14:13 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","","$2,001-$4,000","No","Little","It is costly living in lexington, mainly due to high taxes.","Some (26-50%)","Yes","Undecided - Possible","50-59 years","5+","with an ambulatory difficulty;with an independent living difficulty","moved in 2010-2014","multi-family home","$750,000-$999,999","$150,000-$199,999","Yahoo groups",""
"2018/10/09 7:15:31 PM EST","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","","$2,001-$4,000","No","None","","Some (26-50%)","Yes","Definitely","50-59 years","5+","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$150,000-$199,999","Lexington town list",""
"2018/10/09 7:18:04 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","","$6,001-$8,000","No","Some","I am on fixed income","","Yes","Undecided - Possible","70-79 years","1","none of the above","moved in 1979 and earlier","single family home","$750,000-$999,999","$150,000-$199,999","List",""
"2018/10/09 7:18:21 PM EST","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","","$6,001-$8,000","No","Little","","Some (26-50%)","Yes","Unlikely","50-59 years","3","none of the above","moved in 2010-2014","single family home","$2,000,000 and more","$200,000 and over","direct email, i think",""
